actor,scenario,level,score,time,verb
CB83BA6E,3 - repetiteur,mission01,,2024-12-14 22:24:23.887000+00:00,launched
CB83BA6E,,,9875,2024-12-14 22:25:04.008000+00:00,completed
CB83BA6E,,,,2024-12-14 22:25:14.386000+00:00,exited
CB83BA6E,3 - repetiteur,mission02,,2024-12-14 22:25:14.630000+00:00,launched
CB83BA6E,,,11888,2024-12-14 22:25:48.425000+00:00,completed
CB83BA6E,,,,2024-12-14 22:26:01.547000+00:00,exited
CB83BA6E,3 - repetiteur,mission03,,2024-12-14 22:26:01.693000+00:00,launched
CB83BA6E,,,10050,2024-12-14 22:27:24.203000+00:00,completed
CB83BA6E,,,,2024-12-14 22:27:29.215000+00:00,exited
